Per Capita Personal Income by County (Dollars)																		
Series ID	Region Name	Region Code	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
PCPI22003	Allen Parish, LA	22003	17988	18761	19816	21336	22072	23145	25702	26901	26603	27018	27922	28508	29037	29552	30450	32106
PCPI18003	Allen County, IN	18003	30089	29721	30813	31625	33852	34878	35311	33521	34471	36536	38326	38178	40182	41979	43002	44525
PCPI21003	Allen County, KY	21003	20094	20031	21401	22235	23070	23789	24568	24327	24585	25717	27204	26820	28563	30038	30369	31222
PCPI45005	Allendale County, SC	45005	17097	17519	18309	19427	20984	21702	22788	24015	26150	26528	27222	25874	26625	27732	29505	30946
PCPI26007	Alpena County, MI	26007	25415	26188	26621	27576	28135	29333	31198	30705	31876	33115	33659	33933	35046	37309	38157	39288
PCPI06003	Alpine County, CA	06003	34462	35975	33724	34725	33636	35951	38549	39511	42775	57052	60115	59632	67853	70060	74512	65673
PCPI06005	Amador County, CA	06005	27644	28735	30262	30384	32089	33281	34248	33280	34362	35534	36443	37707	39771	41837	42723	43679
PCPI51007	Amelia County, VA	51007	25259	26352	28964	30354	31559	33505	33368	32065	33512	34286	36057	39008	40081	41887	41937	43032
PCPI51009	Amherst County, VA	51009	22679	23344	24715	25851	27369	28457	29624	29684	29866	30983	31579	31585	32974	34465	34714	35992
PCPI28005	Amite County, MS	28005	19187	19561	20974	22007	22445	23732	25478	25049	25551	26111	27030	28367	30032	30167	30581	31542
PCPI02020	Anchorage Muny, AK	02020	39135	40410	41978	44279	46830	50559	55041	53416	56370	58504	59053	57374	61002	63480	61958	63532
PCPI45007	Anderson County, SC	45007	25061	25470	26082	26949	28093	29349	30415	29475	30580	31800	32453	33106	34711	36137	37015	38271
PCPI21005	Anderson County, KY	21005	26124	26349	27425	28785	29709	30934	31906	31091	32247	33365	34242	34999	35936	37075	37833	38407
PCPI47001	Anderson County, TN	47001	29600	29767	29849	30722	31992	33215	34215	33477	34585	36301	36548	36252	37534	38686	39883	40847
PCPI48001	Anderson County, TX	48001	19142	19314	19909	20903	22203	23922	25932	25272	26725	28165	29598	30051	30978	31947	33186	33362
